account_id,segment,subscription_type,plan_tier,tenure_months,mrr,bundles_contracted,extra_users,renewal_due_days,subscription_status,renewed_last_quarter,renewal_intent,in_grace_period,login_count_30d,tool_activity_score,usage_change_vs_prev_quarter,feature_adoption_score,key_reports_used_30d,days_since_last_login,emails_with_csm_30d,csm_meetings_last_quarter,strategic_review_done,success_plan_active,tickets_last_quarter,reopened_tickets,avg_resolution_days,csat_support,sentiment_csm,sentiment_support,feedback_count_90d,feature_requests_count_90d,data_recalculation_requests_90d,critical_feedback_count_90d,unresolved_feedback_count,avg_unresolved_feedback_age_days,roadmap_alignment_score,feedback_sentiment_score,competitor_mentioned_in_feedback,feedback_linked_to_renewal,bugs_reported_90d,critical_bugs_reported_90d,open_bugs_count,stuck_bugs_count,avg_bug_resolution_days,oldest_open_bug_days,bug_reopen_count,data_accuracy_bug_flag,workaround_available_flag,bug_sentiment_score,bug_linked_to_renewal_flag,churn_label
ACC-00011,SMB,Monthly,Pro,7,264.56,2,0,157,Active,1,neutral,0,32,63.8,16.8,47.1,12,10,3,0,0,0,4,1,6.8,3.6,0.28,-0.25,2,1,2,0,0,0.0,71.5,0.49,0,0,6,1,3,1,12.1,116,0,0,1,-0.31,0,0
ACC-00012,Mid-Market,Annual,Business,34,1504.76,4,25,65,Active,1,neutral,0,63,89.7,18.5,79.9,26,11,4,4,0,1,6,1,5.6,4.1,0.47,0.24,4,4,3,0,2,84.7,57.8,0.06,0,0,2,1,1,0,10.8,34,0,0,1,-0.19,0,0
ACC-00013,Enterprise,Annual,Business,40,3707.18,3,0,68,Active,0,neutral,0,64,100,24.4,95.7,23,16,5,6,1,0,2,0,2.3,5.0,-0.05,0.59,3,1,2,1,1,51.1,72.0,-0.12,1,0,1,0,0,0,0.5,0,0,0,1,0.93,0,0
ACC-00014,SMB,Monthly,Pro,42,279.71,2,1,239,Active,0,neutral,0,30,64.6,-9.7,45.4,13,16,2,0,0,1,2,0,5.4,4.4,0.71,0.62,2,2,0,0,0,0.0,84.8,0.71,0,0,4,0,1,0,12.9,31,0,0,1,-0.28,0,0
ACC-00015,Enterprise,Annual,Enterprise,28,5754.91,4,32,40,Renewal Pending,0,negative,0,19,26.8,-28.1,40.8,16,31,6,3,0,1,3,1,4.0,3.0,0.24,-0.51,1,1,1,0,0,0.0,50.7,0.69,0,0,0,0,0,0,0.0,0,0,0,1,-0.16,0,0
ACC-00016,SMB,Monthly,Pro,9,129.4,3,1,50,Active,1,neutral,0,39,60.6,6.5,74.7,16,18,2,0,0,0,5,0,5.8,4.7,0.66,-0.13,1,1,1,0,0,0.0,69.0,0.57,0,0,3,2,1,0,16.5,44,1,0,0,-0.73,1,0
ACC-00017,SMB,Annual,Pro,50,47.65,2,0,8,Renewal Pending,0,negative,0,19,33.7,1.6,18.2,8,22,5,1,0,0,3,0,3.5,4.2,0.08,0.3,1,1,1,1,0,0.0,59.9,0.13,0,0,2,0,0,0,3.9,0,0,0,1,0.71,0,0
ACC-00018,Mid-Market,Annual,Business,38,945.57,2,14,41,Renewal Pending,1,neutral,0,37,53.9,6.5,60.6,20,9,3,1,0,0,1,0,3.4,4.3,0.06,0.26,3,0,0,0,0,0.0,100,0.79,0,0,5,0,2,0,5.4,75,0,0,1,0.14,0,0
ACC-00019,SMB,Annual,Pro,2,238.47,3,9,40,Renewal Pending,0,neutral,0,55,85.1,22.8,65.4,13,0,2,1,1,0,1,0,5.9,4.1,0.03,0.05,0,0,0,0,0,0.0,55.8,0.05,1,0,1,1,0,0,9.7,0,1,0,1,0.0,0,0
ACC-00020,SMB,Annual,Starter,11,188.17,2,0,14,Renewal Pending,0,neutral,0,28,30.2,-16.1,39.5,12,31,3,4,1,0,2,1,4.6,3.1,0.33,-0.12,3,1,0,1,1,60.3,71.7,0.18,0,1,1,0,0,0,10.3,0,0,0,1,0.16,0,0
ACC-00021,Enterprise,Annual,Enterprise,38,2410.19,5,17,7,Grace Period,0,negative,1,17,25.8,-18.8,34.0,13,29,4,3,1,1,4,0,5.5,3.2,0.69,-0.02,2,0,0,0,0,0.0,84.2,0.96,0,0,0,0,0,0,0.0,0,0,0,1,-0.26,0,0
ACC-00022,Mid-Market,Annual,Pro,69,1144.41,4,4,365,Active,1,neutral,0,23,67.4,-11.6,32.3,16,34,4,3,0,0,3,1,4.5,3.6,0.26,0.09,6,1,0,0,3,82.5,54.6,0.23,0,0,2,0,0,0,0.5,0,1,0,0,0.36,0,0
ACC-00023,Enterprise,Custom,Enterprise,37,3974.38,7,34,251,Active,1,positive,0,34,54.8,30.9,44.3,16,11,5,0,1,1,1,0,3.5,4.0,0.33,-0.38,2,2,0,0,1,61.5,91.4,0.2,0,0,1,0,0,0,7.9,0,0,0,1,-0.59,0,0
ACC-00024,Enterprise,Custom,Enterprise,20,3213.61,6,13,66,Active,0,positive,0,42,76.7,2.6,88.9,22,11,2,3,1,0,3,1,1.8,4.1,0.59,0.82,3,0,0,2,1,31.0,55.3,0.37,0,0,0,0,0,0,0.0,0,0,0,1,0.36,1,0
ACC-00025,SMB,Monthly,Starter,15,492.67,2,0,68,Active,0,negative,0,51,76.5,11.5,56.3,15,16,0,1,1,0,6,0,2.7,4.0,0.4,-0.06,4,2,1,0,2,88.9,48.3,-0.37,1,0,4,2,2,1,10.9,80,2,0,0,0.15,0,0
ACC-00026,SMB,Monthly,Pro,15,119.13,1,4,112,Grace Period,0,negative,1,26,50.9,36.6,39.9,10,33,3,1,0,1,2,1,0.4,4.8,0.33,-0.31,4,1,0,1,1,54.2,57.6,0.42,0,1,1,0,0,0,3.5,0,0,0,1,0.65,0,0
ACC-00027,SMB,Monthly,Pro,13,376.59,2,3,97,Active,0,negative,0,8,34.2,-5.3,12.3,6,29,1,0,0,0,2,0,0.2,3.9,-0.15,-0.29,2,1,0,0,0,0.0,67.8,0.14,0,0,0,0,0,0,0.0,0,0,0,1,0.43,0,0
ACC-00028,SMB,Annual,Pro,28,70.97,2,3,260,Active,0,positive,0,54,77.1,52.4,74.7,24,5,0,1,0,0,1,0,0.2,4.7,0.45,0.55,1,0,0,1,0,0.0,64.5,0.31,0,0,2,0,0,0,0.5,0,0,0,1,0.25,0,0
ACC-00029,Enterprise,Custom,Enterprise,58,1837.37,5,8,303,Active,0,negative,0,23,23.8,-32.5,22.1,13,25,2,3,0,0,6,4,7.8,3.3,-0.12,-0.88,3,0,0,1,1,37.2,67.6,0.8,0,0,5,0,3,1,7.7,110,0,0,1,-0.92,0,1
ACC-00030,SMB,Monthly,Starter,20,48.51,1,2,13,Renewal Pending,1,neutral,0,48,76.7,-10.1,54.8,17,13,3,1,1,0,4,0,7.7,2.8,0.29,0.15,2,1,0,0,1,68.2,62.4,0.27,0,0,2,2,1,0,14.9,24,1,0,1,-0.61,0,0
ACC-00031,SMB,Annual,Starter,4,149.21,1,4,66,Active,1,negative,0,40,69.7,19.7,39.3,12,22,8,0,0,0,3,0,6.1,4.1,-0.01,-0.16,1,1,0,0,0,0.0,60.1,0.28,1,0,5,0,2,1,7.6,84,3,0,1,0.28,0,0
ACC-00032,SMB,Annual,Business,37,363.79,2,1,78,Active,0,positive,0,50,44.5,-0.4,85.5,15,17,3,3,0,0,0,0,2.4,4.3,0.01,-0.09,2,0,0,0,0,0.0,84.2,0.77,0,0,1,0,0,0,0.5,0,0,1,1,0.88,0,0
ACC-00033,Mid-Market,Annual,Business,14,1485.18,3,28,14,Renewal Pending,1,negative,0,25,48.4,22.4,60.9,16,36,1,4,0,0,3,1,2.6,4.4,0.39,-0.17,1,1,0,1,0,0.0,33.4,-0.1,1,0,1,0,0,0,3.7,0,1,0,1,0.69,0,0
ACC-00034,Mid-Market,Annual,Business,17,853.92,3,19,119,Active,1,neutral,0,45,92.0,48.5,89.6,22,15,1,2,1,0,1,0,0.2,4.1,-0.1,0.09,4,1,0,0,1,47.8,62.9,0.34,0,0,1,1,0,0,9.8,0,0,0,0,0.15,0,0
ACC-00035,SMB,Monthly,Business,1,52.82,3,23,43,Renewal Pending,1,positive,0,52,75.3,4.4,74.4,24,2,0,1,0,1,0,0,0.2,4.2,0.81,0.51,0,0,0,0,0,0.0,89.4,0.57,0,0,0,0,0,0,0.0,0,0,1,1,0.29,0,0
ACC-00036,Mid-Market,Annual,Business,30,1101.37,4,30,37,Renewal Pending,1,negative,0,32,83.8,-5.7,76.1,17,14,7,2,0,0,3,0,6.6,3.7,0.85,0.13,3,2,0,2,1,40.9,38.1,0.08,1,0,5,2,2,0,14.3,44,0,0,1,-0.23,0,0
ACC-00037,Enterprise,Custom,Enterprise,3,1150.11,6,58,136,Active,0,neutral,0,39,58.1,23.8,56.3,18,32,3,4,1,0,2,2,4.4,3.6,0.27,-0.11,3,1,1,0,1,40.4,55.3,0.31,0,0,2,1,1,0,4.6,41,0,0,1,-0.01,1,0
ACC-00038,Enterprise,Annual,Pro,29,9851.38,2,6,240,Active,1,neutral,0,34,40.4,24.5,46.1,10,25,1,1,1,0,2,0,0.6,4.0,0.38,-0.21,7,4,1,0,2,84.0,68.0,0.71,0,0,2,0,0,0,0.5,0,0,0,1,-0.15,0,0
ACC-00039,Mid-Market,Annual,Pro,33,664.61,2,5,232,Active,0,neutral,0,28,38.2,-1.3,60.8,10,5,2,3,0,0,10,3,6.8,2.7,1,0.02,3,1,1,0,1,6.1,70.8,0.48,0,0,6,1,3,1,10.6,117,3,0,0,-0.64,1,0
ACC-00040,Mid-Market,Monthly,Business,15,1238.33,2,12,9,Renewal Pending,1,neutral,0,60,92.9,11.9,58.4,21,10,5,1,0,1,2,2,7.3,3.9,0.08,0.28,5,2,0,1,2,4.7,60.9,0.26,0,0,2,1,1,0,4.1,43,0,0,0,0.07,0,0
ACC-00041,SMB,Monthly,Business,3,197.91,1,26,297,Grace Period,1,neutral,1,40,61.9,21.8,58.9,15,0,3,2,0,0,7,2,8.3,2.5,0.88,-1,5,2,1,0,1,55.8,69.2,0.46,0,0,4,1,2,1,12.0,112,1,1,1,-0.39,0,0
ACC-00042,SMB,Annual,Starter,27,225.8,1,0,15,Renewal Pending,0,positive,0,52,92.5,32.4,75.4,21,5,3,2,1,0,4,0,5.4,3.7,0.19,-0.11,3,2,1,0,1,62.7,84.6,-0.09,0,1,1,0,0,0,0.5,0,0,0,1,0.49,0,0
ACC-00043,SMB,Monthly,Business,4,269.48,3,0,26,Renewal Pending,0,neutral,0,44,72.8,-0.9,83.2,16,10,2,2,0,0,3,0,4.4,3.2,0.21,0.57,1,0,1,1,0,0.0,66.3,0.48,0,0,1,0,0,0,4.4,0,1,0,1,0.28,0,0
ACC-00044,Enterprise,Annual,Business,53,2090.31,4,0,139,Active,0,negative,0,14,33.4,-22.5,0,15,27,1,3,1,1,3,1,7.5,3.8,0.91,0.03,3,0,0,1,1,74.0,64.1,0.7,0,0,3,2,1,0,16.8,37,1,0,1,-0.0,0,1
ACC-00045,SMB,Monthly,Business,15,198.34,3,5,19,Grace Period,1,negative,1,51,97.7,59.0,61.1,22,0,3,0,0,0,2,0,3.5,3.1,0.91,0.19,1,1,1,1,0,0.0,48.6,0.31,0,0,3,1,1,0,12.9,51,0,1,1,-0.2,0,0
ACC-00046,SMB,Monthly,Pro,15,123.25,2,7,11,Renewal Pending,0,negative,0,12,10.1,-7.3,42.2,9,46,3,1,0,1,5,0,1.4,4.0,0.63,0.05,1,0,1,1,0,0.0,51.9,0.16,1,0,2,0,0,0,3.3,0,1,0,1,0.43,0,0
ACC-00047,SMB,Annual,Pro,10,158.25,3,2,11,Grace Period,1,negative,1,39,43.5,4.2,74.5,13,23,6,2,0,0,3,0,5.1,3.9,0.16,0.34,2,0,1,0,1,8.2,53.8,0.8,1,1,3,0,1,0,5.8,39,0,0,1,-0.16,0,0
ACC-00048,Mid-Market,Annual,Pro,26,1920.63,4,5,8,Renewal Pending,1,neutral,0,54,86.3,-18.1,86.0,21,9,8,3,1,1,0,0,0.2,4.4,0.21,0.39,5,1,2,0,1,38.5,90.6,0.5,1,0,1,0,0,0,2.7,0,1,0,1,0.29,0,0
ACC-00049,Mid-Market,Annual,Enterprise,11,1093.05,5,55,32,Renewal Pending,0,negative,0,24,53.4,-44.4,41.1,15,9,3,5,1,0,1,0,4.5,3.3,0.07,-0.02,1,1,1,1,0,0.0,53.8,0.35,1,0,2,1,1,0,0.9,20,1,1,0,-0.54,0,0
ACC-00050,SMB,Annual,Pro,15,522.7,2,5,98,Active,1,neutral,0,45,76.8,13.3,69.3,19,6,4,2,0,1,1,1,8.3,2.9,0.42,0.1,0,0,0,0,0,0.0,48.0,-0.07,0,0,2,0,1,0,7.6,38,0,0,0,-0.82,0,1
ACC-00051,Mid-Market,Custom,Business,42,2865.15,2,3,32,Renewal Pending,1,negative,0,34,66.2,-46.5,51.5,9,23,5,0,0,0,6,0,4.6,3.8,0.48,-0.22,3,2,1,0,1,60.4,48.6,-0.23,0,0,2,0,1,0,10.1,22,0,0,1,0.37,0,0
ACC-00052,Mid-Market,Monthly,Pro,25,462.91,2,6,6,Grace Period,1,negative,1,36,63.4,-15.7,75.1,19,13,2,3,0,0,2,1,2.1,4.5,0.72,0.36,2,1,0,1,0,0.0,86.8,1,0,1,2,1,1,0,5.8,11,1,0,0,-0.11,0,0
ACC-00053,Enterprise,Annual,Business,34,3636.03,2,31,23,Grace Period,0,neutral,1,52,74.7,37.6,89.6,13,5,7,3,1,0,3,0,0.5,3.8,0.64,-0.12,4,1,1,0,1,40.3,47.3,0.52,0,0,0,0,0,0,0.0,0,0,0,1,-0.06,0,0
ACC-00054,SMB,Monthly,Starter,9,64.66,1,3,89,Active,0,neutral,0,45,82.4,20.7,68.8,22,21,1,1,0,0,2,0,1.3,4.5,0.45,-0.1,1,0,0,0,0,0.0,61.0,0.3,0,0,2,0,0,0,1.2,0,0,0,0,0.38,0,0
ACC-00055,SMB,Monthly,Starter,7,369.67,3,0,6,Renewal Pending,1,neutral,0,45,93.5,44.3,70.4,10,8,1,0,0,1,2,0,0.2,4.8,0.17,0.01,2,0,0,0,0,0.0,70.9,0.9,0,0,0,0,0,0,0.0,0,0,0,1,-0.06,1,0
ACC-00056,SMB,Annual,Starter,2,92.04,1,0,358,Active,1,negative,0,28,52.3,-31.0,46.7,10,26,1,0,0,0,5,0,4.5,4.3,0.79,0.2,7,3,1,1,3,80.7,29.1,0.01,0,0,2,0,1,0,6.6,11,0,0,1,0.25,0,0
ACC-00057,SMB,Monthly,Business,27,117.65,3,0,143,Active,1,positive,0,48,88.4,50.0,88.9,26,1,1,0,0,0,3,2,5.2,2.8,0.8,-0.23,2,1,1,2,1,53.3,57.2,0.2,0,1,3,0,1,0,9.6,31,1,0,1,-0.14,0,1
ACC-00058,Mid-Market,Custom,Business,16,421.0,4,22,20,Renewal Pending,0,negative,0,30,38.4,-36.8,28.2,14,31,5,2,0,0,4,0,5.7,3.8,-0.02,0.18,4,1,1,1,1,67.3,70.0,0.77,1,1,1,1,0,0,7.7,0,1,1,1,-0.3,1,1
ACC-00059,Enterprise,Annual,Business,12,9050.78,3,21,1,Renewal Pending,1,negative,0,29,19.1,25.8,41.6,12,17,8,3,0,0,4,0,0.2,4.3,-0.07,0.31,4,0,1,1,1,29.5,66.3,0.63,0,1,2,1,1,0,9.5,58,0,0,1,-0.21,0,0
ACC-00060,Mid-Market,Annual,Business,34,369.79,4,12,365,Active,0,neutral,0,51,68.2,-4.5,77.6,20,25,1,3,1,0,6,2,6.2,3.8,0.83,-0.24,2,0,1,1,0,0.0,54.1,0.83,0,0,3,0,1,0,13.2,28,0,0,1,0.22,0,0
ACC-00061,Enterprise,Annual,Enterprise,8,6448.86,5,12,365,Active,1,neutral,0,44,71.0,28.0,49.9,20,0,3,3,1,0,4,1,7.2,4.4,0.48,-0.81,7,3,0,0,4,124.9,58.1,-0.17,0,0,2,1,0,0,4.0,0,1,0,1,-0.14,0,0
ACC-00062,SMB,Monthly,Pro,11,97.37,3,0,87,Active,0,positive,0,39,77.6,2.1,82.3,14,10,2,3,0,0,5,0,7.3,3.9,0.13,0.09,1,0,0,0,0,0.0,88.2,0.63,1,0,5,1,1,0,15.2,34,1,0,0,-0.19,0,0
ACC-00063,Enterprise,Annual,Enterprise,18,15110.47,4,41,7,Renewal Pending,1,neutral,0,38,92.3,21.0,78.2,18,0,5,5,0,1,3,1,7.3,3.8,0.28,0.31,4,3,0,0,1,76.7,73.1,0.18,1,1,2,0,1,0,6.5,16,0,0,1,0.16,0,0
ACC-00064,SMB,Monthly,Pro,1,92.67,2,8,34,Grace Period,1,neutral,1,48,67.5,14.3,85.1,13,27,1,3,0,0,5,0,1.4,3.7,0.55,0.02,0,0,0,0,0,0.0,86.2,1,0,1,6,0,2,0,4.8,28,1,0,0,-0.54,0,0
ACC-00065,SMB,Annual,Pro,14,101.3,2,0,6,Renewal Pending,0,negative,0,3,21.4,22.6,6.1,4,27,2,1,0,1,3,0,6.7,3.3,0.46,-0.24,1,0,0,0,0,0.0,64.1,0.71,0,0,2,0,1,0,17.1,59,1,0,0,-0.61,0,0
ACC-00066,SMB,Monthly,Pro,20,531.31,1,4,256,Active,0,neutral,0,35,51.9,-4.4,37.9,9,32,1,0,0,0,1,0,0.9,4.5,0.18,-0.16,3,3,1,1,1,61.8,79.4,0.32,0,0,6,1,2,0,11.4,59,1,1,0,-0.8,0,0
ACC-00067,Mid-Market,Monthly,Business,26,1546.96,4,13,74,Active,1,negative,0,15,0,-22.1,32.1,15,46,6,0,1,0,5,0,4.1,3.3,0.2,0.15,3,2,1,2,2,93.5,49.8,0.47,0,0,5,1,2,1,12.0,106,3,0,1,-0.61,0,1
ACC-00068,Mid-Market,Annual,Pro,3,790.79,1,2,242,Active,1,neutral,0,47,52.8,18.9,61.7,13,16,5,1,0,1,4,1,4.5,4.6,0.17,0.14,2,2,0,0,1,41.9,28.1,-0.43,0,0,1,0,0,0,0.5,0,0,0,1,0.47,0,0
ACC-00069,SMB,Monthly,Starter,10,93.18,1,0,1,Renewal Pending,0,neutral,0,47,48.2,15.1,39.0,15,19,5,0,1,0,1,0,1.0,4.5,0.33,0.52,1,1,0,0,0,0.0,71.0,0.57,0,1,0,0,0,0,0.0,0,0,0,1,-0.48,1,0
ACC-00070,SMB,Annual,Pro,7,65.04,3,0,48,Active,1,neutral,0,17,33.8,-26.1,23.1,6,37,3,1,0,1,3,0,0.9,3.6,-0.01,0.28,4,0,0,0,1,12.8,63.5,0.36,0,0,3,0,1,0,4.9,28,0,0,1,0.4,0,0
ACC-00071,SMB,Monthly,Pro,4,81.52,2,3,4,Renewal Pending,1,neutral,0,30,43.2,-14.5,65.6,14,9,1,2,0,1,2,1,3.3,5.0,0.42,0.21,1,1,0,0,0,0.0,87.4,0.83,0,0,1,0,0,0,0.5,0,0,0,0,0.02,0,0
ACC-00072,SMB,Annual,Pro,12,115.57,2,5,32,Renewal Pending,1,neutral,0,62,76.0,33.9,75.0,20,16,3,2,1,0,2,0,4.2,4.0,-0.06,-0.35,3,1,1,1,1,53.4,52.7,0.09,0,1,3,0,1,0,6.9,43,0,0,1,-0.33,0,0
ACC-00073,SMB,Annual,Business,31,150.44,2,17,2,Renewal Pending,1,neutral,0,29,61.9,-2.8,64.6,19,21,4,1,0,0,3,0,4.3,4.2,0.3,0.01,0,0,0,0,0,0.0,48.9,0.95,0,0,1,0,0,0,7.3,0,0,0,1,0.46,0,0
ACC-00074,Enterprise,Annual,Enterprise,6,9700.51,5,51,13,Grace Period,0,negative,1,42,46.3,-19.6,72.7,10,14,5,3,1,1,5,2,4.1,3.0,0.4,-0.03,3,3,0,3,1,35.4,77.4,0.18,0,0,1,1,0,0,11.7,0,0,0,1,0.14,0,0
ACC-00075,Mid-Market,Annual,Business,22,1133.05,2,6,54,Active,0,positive,0,47,87.3,11.0,75.2,13,6,9,0,1,1,1,0,4.3,5.0,0.18,0.35,8,3,0,2,3,51.9,55.3,0.52,0,0,2,0,0,0,1.6,0,0,0,1,0.21,0,0
ACC-00076,Enterprise,Annual,Business,45,3894.14,3,18,137,Active,1,positive,0,46,77.7,26.0,65.4,20,14,5,3,1,1,2,0,4.7,5.0,0.44,0.91,2,2,2,0,1,31.2,63.3,0.68,0,0,0,0,0,0,0.0,0,0,0,1,0.53,0,0
ACC-00077,Mid-Market,Annual,Pro,8,2057.73,1,0,4,Renewal Pending,1,neutral,0,45,81.2,59.8,43.9,17,8,9,1,1,1,2,0,2.4,3.7,0.6,0.39,3,3,3,0,1,67.1,70.3,0.37,0,0,1,0,0,0,4.0,0,0,1,1,0.34,0,0
ACC-00078,SMB,Annual,Business,5,89.88,4,20,36,Renewal Pending,1,negative,0,19,42.4,-2.0,46.1,11,26,2,1,0,1,3,0,3.4,4.2,0.26,0.12,1,1,1,0,0,0.0,88.0,0.69,0,0,0,0,0,0,0.0,0,0,0,1,0.28,0,0
ACC-00079,SMB,Annual,Starter,24,152.96,3,3,78,Active,0,neutral,0,35,72.1,21.9,42.4,13,27,2,2,0,0,5,0,3.8,3.7,0.43,0.36,3,0,1,0,0,0.0,84.4,0.82,0,0,3,0,1,0,7.8,49,0,0,1,0.19,0,0
ACC-00080,SMB,Annual,Pro,5,228.7,2,6,151,Active,1,neutral,0,44,82.1,19.2,65.8,19,31,0,1,1,0,2,2,3.3,3.9,-0.0,-0.33,3,2,2,1,1,56.6,58.5,0.61,1,0,3,0,1,0,2.0,31,2,1,1,-0.14,0,0
ACC-00081,SMB,Monthly,Pro,1,653.92,1,4,8,Grace Period,1,negative,1,29,58.7,-24.0,36.7,6,16,4,2,0,0,3,0,4.4,4.1,0.31,0.09,5,0,2,0,1,36.4,41.7,0.39,0,0,4,0,1,0,9.2,32,1,0,1,0.26,0,1
ACC-00082,SMB,Annual,Pro,20,122.35,1,8,110,Active,1,neutral,0,35,48.8,-14.3,31.6,19,24,4,0,1,0,6,0,3.6,4.3,1,0.47,3,3,0,1,1,68.2,48.4,-0.08,0,1,6,0,2,0,0.5,43,1,0,1,0.18,0,1
ACC-00083,Enterprise,Custom,Business,57,3053.77,2,15,34,Renewal Pending,0,neutral,0,36,83.4,30.7,68.5,13,15,7,4,1,1,3,2,6.2,3.9,0.58,0.18,4,1,0,0,1,61.9,64.9,0.76,0,0,6,2,2,1,16.5,84,0,0,1,0.01,0,0
ACC-00084,SMB,Annual,Starter,5,320.2,1,5,22,Renewal Pending,0,negative,0,31,75.3,13.6,32.1,12,24,3,1,1,0,4,0,3.1,4.7,-0.03,-0.57,6,1,0,1,2,43.4,73.1,-0.0,0,1,1,1,0,0,7.6,0,0,0,0,-0.11,0,0
ACC-00085,Mid-Market,Monthly,Business,32,355.44,3,15,37,Renewal Pending,1,negative,0,16,24.6,-34.7,24.5,10,38,6,2,0,0,3,1,1.7,4.2,0.81,-0.12,5,4,1,2,3,84.0,28.6,-0.46,1,0,1,0,0,0,3.3,0,0,0,1,0.68,0,0
ACC-00086,Mid-Market,Annual,Business,2,495.99,2,27,56,Grace Period,0,neutral,1,35,69.1,11.6,35.3,13,12,2,2,1,0,2,0,1.3,4.2,0.74,0.29,2,1,0,2,1,20.6,46.7,0.24,0,0,3,0,0,0,0.5,0,1,0,1,0.28,0,0
ACC-00087,Mid-Market,Annual,Business,2,768.25,3,11,167,Grace Period,1,negative,1,13,19.6,28.1,26.0,11,41,2,2,1,1,2,0,6.7,3.6,0.64,0.48,3,0,0,0,1,44.3,60.4,0.59,0,0,4,0,1,0,2.1,0,0,0,1,0.16,0,0
ACC-00088,Mid-Market,Annual,Starter,38,666.75,1,1,261,Active,0,positive,0,31,59.8,11.2,64.1,15,23,3,2,1,1,0,0,2.9,4.5,0.81,0.61,2,1,1,1,0,0.0,58.1,0.51,0,0,1,0,0,0,0.5,0,0,0,0,0.23,0,0
