account_id,segment,subscription_type,plan_tier,tenure_months,mrr,bundles_contracted,extra_users,renewal_due_days,subscription_status,renewed_last_quarter,renewal_intent,in_grace_period,login_count_30d,tool_activity_score,usage_change_vs_prev_quarter,feature_adoption_score,key_reports_used_30d,days_since_last_login,emails_with_csm_30d,csm_meetings_last_quarter,strategic_review_done,success_plan_active,tickets_last_quarter,reopened_tickets,avg_resolution_days,csat_support,sentiment_csm,sentiment_support,churn_label
ACC_00011,SMB,annual,Pro,26,139.18,1,2,163,churned,0,neutral,0,21,16.3,-4.1,30.0,5,14,3,1,1,0,3,0,4.4,3.5,0.18,-0.21,0
ACC_00012,Enterprise,monthly,Enterprise,38,11594.39,4,16,129,active,0,neutral,0,71,60.4,15.1,67.3,32,1,7,1,1,0,2,0,1.7,4.8,0.19,0.69,0
ACC_00013,Mid-Market,annual,Business,35,2130.42,2,5,63,churned,0,neutral,0,36,24.7,-20.2,9.0,16,13,3,1,1,1,4,0,2.5,4.1,-0.3,0.28,0
ACC_00014,SMB,annual,Pro,8,174.67,1,1,28,churned,0,neutral,0,19,1.7,-4.9,3.1,2,3,5,1,0,1,4,0,2.7,4.4,-0.58,0.37,0
ACC_00015,SMB,annual,Pro,20,153.52,2,0,86,churned,0,positive,0,22,12.2,2.0,7.1,6,0,3,1,0,1,3,0,2.3,4.0,-0.3,0.25,0
ACC_00016,SMB,monthly,Pro,16,132.39,1,2,95,active,0,positive,0,14,10.8,-10.6,6.9,4,20,2,0,0,1,3,1,2.7,4.0,-0.03,0.1,0
ACC_00017,SMB,annual,Pro,21,128.84,1,2,30,active,0,negative,0,32,19.2,-6.5,37.4,18,18,4,1,0,0,4,0,2.6,3.9,-0.13,0.13,0
ACC_00018,SMB,annual,Pro,26,106.97,2,1,82,churned,0,neutral,0,11,12.2,-13.1,24.1,2,36,4,0,0,0,7,2,4.7,3.5,-0.61,-0.37,0
ACC_00019,SMB,monthly,Pro,23,132.74,2,0,142,churned,0,neutral,0,20,16.2,-0.6,30.6,7,0,1,0,0,0,7,3,8.1,3.4,0.02,-0.59,0
ACC_00020,SMB,monthly,Guru,18,145.59,2,5,32,churned,0,neutral,0,25,17.4,-19.1,22.2,7,16,4,2,1,0,3,0,4.2,4.0,0.02,0.54,0
ACC_00021,Mid-Market,monthly,Business,33,1131.97,2,3,179,active,0,neutral,0,39,37.0,-5.6,20.3,10,0,3,2,1,0,0,1,5.1,3.8,-0.05,0.27,0
ACC_00022,SMB,annual,Pro,12,137.56,2,1,99,churned,0,neutral,0,7,0.0,-14.6,18.7,1,29,2,0,1,0,7,4,7.6,2.9,-0.16,-0.57,0
ACC_00023,SMB,annual,Guru,1,473.19,1,1,147,active,0,neutral,0,29,15.0,6.3,22.6,6,13,1,0,1,1,4,1,3.2,4.5,-0.07,0.18,0
ACC_00024,SMB,annual,Guru,9,395.21,3,1,72,churned,0,negative,0,17,0.0,-46.5,17.2,5,0,5,1,0,0,3,0,5.2,3.6,-0.44,0.11,1
ACC_00025,SMB,monthly,Guru,3,495.39,3,2,165,churned,0,negative,0,22,18.8,-31.4,24.3,1,17,3,0,0,1,7,1,3.7,3.8,-0.31,-0.27,1
ACC_00026,Mid-Market,annual,Business,28,2174.57,3,1,130,active,0,neutral,0,46,36.3,41.0,22.5,7,1,3,1,0,1,3,0,3.0,4.2,-0.27,0.42,0
ACC_00027,SMB,annual,Pro,9,192.33,1,4,17,churned,0,neutral,0,16,1.5,-10.0,16.0,4,13,5,1,0,0,5,0,4.1,3.7,-0.39,0.03,0
ACC_00028,SMB,monthly,Pro,16,168.82,2,0,125,churned,0,negative,0,29,14.3,-22.3,32.5,11,10,2,0,0,1,4,1,8.1,3.4,0.02,-0.25,1
ACC_00029,SMB,annual,Guru,24,401.42,1,0,6,active,0,neutral,0,9,0.0,-0.7,17.4,0,28,2,0,0,1,4,1,3.6,3.9,-0.14,0.04,0
ACC_00030,SMB,monthly,Pro,14,110.77,2,0,162,churned,0,positive,0,35,26.1,-29.1,5.0,10,26,1,0,0,1,6,1,2.0,4.1,-0.32,0.09,0
ACC_00031,Mid-Market,monthly,Guru,5,488.79,3,3,123,churned,0,neutral,0,26,19.6,-52.9,37.2,6,3,3,0,0,0,2,0,3.9,4.1,-0.25,0.33,0
ACC_00032,SMB,monthly,Pro,34,217.19,2,3,113,churned,0,neutral,0,9,8.2,-8.6,11.4,2,21,4,1,0,0,4,0,4.5,3.7,-0.51,0.34,0
ACC_00033,SMB,annual,Pro,33,163.68,2,1,83,churned,0,neutral,0,19,9.4,-28.2,24.6,0,13,3,0,0,1,7,4,6.4,2.4,-0.16,-0.68,0
ACC_00034,Enterprise,annual,Enterprise,55,13581.75,3,10,83,churned,0,neutral,0,94,54.2,1.8,54.2,23,0,2,2,1,0,2,0,2.6,4.3,0.02,0.29,0
ACC_00035,Enterprise,monthly,Business,29,2817.33,4,10,82,active,0,positive,0,59,59.7,5.9,61.0,22,0,15,4,0,0,0,0,1.6,4.0,0.37,0.04,0
ACC_00036,Mid-Market,monthly,Guru,11,216.93,1,1,104,churned,0,positive,0,35,20.3,-12.4,0.0,3,31,4,0,0,1,6,1,4.9,3.7,-0.26,-0.07,0
ACC_00037,SMB,monthly,Pro,13,202.55,2,1,101,churned,0,negative,0,21,11.1,-45.8,18.0,10,13,1,0,0,0,5,2,8.2,2.9,-0.42,-0.53,1
ACC_00038,SMB,annual,Guru,2,398.14,1,0,92,churned,0,negative,0,12,3.6,-14.5,6.1,3,20,4,1,0,0,3,1,7.0,3.0,-0.26,-0.18,1
ACC_00039,Mid-Market,monthly,Business,9,1066.01,3,3,59,churned,0,negative,0,32,25.1,-7.0,39.1,16,6,4,1,1,0,2,0,4.0,4.1,0.02,0.07,1
ACC_00040,SMB,monthly,Guru,21,374.37,2,1,101,active,0,neutral,0,9,22.1,-40.2,29.1,3,5,3,0,0,1,3,1,3.8,4.1,-0.12,-0.09,0
ACC_00041,SMB,monthly,Guru,19,216.08,2,1,23,churned,0,negative,0,18,22.1,-42.3,38.2,6,10,4,0,0,1,5,2,5.9,3.8,-0.06,-0.14,1
ACC_00042,SMB,monthly,Pro,25,104.86,1,1,108,churned,0,negative,0,15,11.1,-34.2,23.5,5,7,5,1,0,0,5,0,3.0,4.0,0.02,0.35,1
ACC_00043,SMB,monthly,Pro,22,188.9,1,1,166,churned,0,neutral,0,14,24.6,-1.6,21.9,4,0,0,0,1,1,6,1,3.4,3.9,0.06,0.05,0
ACC_00044,Enterprise,annual,Enterprise,16,9368.74,4,14,139,active,0,neutral,0,60,55.2,-36.0,48.2,11,0,7,3,1,1,1,1,4.6,3.9,0.57,0.16,0
ACC_00045,SMB,annual,Pro,33,121.0,1,1,93,active,0,positive,0,16,8.4,-0.1,32.2,2,17,3,0,0,1,3,1,6.3,3.9,-0.11,-0.29,0
ACC_00046,Mid-Market,annual,Business,34,1052.23,4,6,180,active,0,negative,0,65,42.8,7.1,29.3,14,0,6,2,1,0,1,0,3.2,3.5,0.09,0.13,0
ACC_00047,SMB,annual,Pro,21,104.3,2,2,63,active,0,neutral,0,28,16.0,-19.6,31.5,4,9,3,0,1,1,5,0,3.2,3.6,0.09,-0.16,0
ACC_00048,SMB,annual,Pro,20,156.12,1,2,3,renewal_pending,0,negative,1,18,8.8,-41.7,9.5,9,12,1,0,1,0,3,0,3.1,4.6,-0.21,0.83,0
ACC_00049,SMB,annual,Pro,8,129.48,1,1,93,churned,0,negative,0,13,25.9,-29.3,8.9,6,14,1,0,1,0,4,1,5.6,3.1,-0.29,-0.02,1
ACC_00050,SMB,annual,Pro,9,169.54,1,1,132,churned,0,neutral,0,7,0.0,-0.9,17.6,1,23,1,0,0,1,6,1,5.7,4.0,-0.6,0.05,0
ACC_00051,Enterprise,annual,Business,30,832.86,2,11,15,churned,0,negative,0,67,48.3,22.6,30.5,12,0,4,1,1,1,3,2,3.7,4.2,0.12,-0.31,1
ACC_00052,Mid-Market,annual,Business,27,938.73,2,3,26,churned,0,neutral,0,35,33.2,-33.6,34.6,12,13,3,0,0,0,5,1,4.1,4.1,-0.29,-0.19,0
ACC_00053,Enterprise,monthly,Business,38,1240.05,2,15,131,active,0,neutral,0,79,60.7,20.6,40.6,34,10,14,3,1,0,4,0,5.2,3.5,0.35,0.32,0
ACC_00054,Mid-Market,monthly,Guru,4,403.58,2,3,71,churned,0,negative,0,16,31.3,-2.7,0.0,7,20,2,0,1,0,3,0,3.0,3.8,-0.26,-0.08,1
ACC_00055,SMB,annual,Pro,19,90.42,1,0,47,churned,0,negative,0,19,0.2,-15.1,16.1,4,0,5,2,0,1,6,1,6.5,3.5,-0.37,-0.09,1
ACC_00056,Enterprise,monthly,Enterprise,51,6188.52,4,11,135,active,0,positive,0,87,62.2,-13.3,52.8,24,4,9,2,1,1,2,0,4.5,4.6,0.38,0.63,0
ACC_00057,SMB,annual,Pro,20,63.88,2,3,80,churned,0,neutral,0,0,1.7,-25.5,0.0,0,29,11,2,0,0,4,0,6.1,4.4,-0.46,0.22,0
ACC_00058,SMB,annual,Pro,29,148.77,2,1,173,churned,0,neutral,0,21,22.3,17.8,18.9,2,8,4,0,0,0,4,0,3.0,4.2,-0.5,0.02,0
ACC_00059,SMB,annual,Pro,6,127.52,1,0,43,churned,0,positive,0,16,16.6,-11.8,0.0,7,15,1,0,0,1,4,1,5.5,3.1,-0.06,-0.58,0
ACC_00060,SMB,annual,Pro,17,92.84,1,0,51,active,0,positive,0,3,0.0,8.9,17.7,3,19,5,2,1,1,4,0,4.6,4.0,-0.08,0.21,0
ACC_00061,SMB,monthly,Guru,25,542.71,2,0,33,churned,0,neutral,0,5,17.5,-10.7,37.5,1,1,2,0,0,1,5,1,6.0,3.5,-0.28,-0.36,0
ACC_00062,SMB,monthly,Guru,4,480.07,2,0,20,churned,0,negative,0,26,27.6,-23.1,27.9,12,27,3,2,1,1,6,1,4.9,3.7,-0.2,-0.07,1
ACC_00063,Mid-Market,annual,Business,32,1485.89,2,2,23,churned,0,negative,0,28,15.1,-4.5,33.2,10,13,0,0,1,0,4,2,7.0,2.7,-0.09,-0.72,1
ACC_00064,SMB,annual,Pro,20,204.57,1,2,43,active,0,neutral,0,18,12.9,23.8,12.2,8,15,0,0,1,1,4,0,2.6,4.3,-0.04,0.17,0
ACC_00065,SMB,annual,Guru,3,479.5,1,1,113,churned,0,negative,0,13,0.2,-26.6,10.4,4,0,3,0,0,1,2,0,3.4,3.6,-0.49,-0.04,1
ACC_00066,SMB,annual,Pro,23,117.09,2,0,168,churned,0,neutral,0,19,15.3,1.4,22.3,6,18,2,1,0,0,3,1,2.2,3.2,-0.18,-0.18,0
ACC_00067,SMB,annual,Pro,18,108.43,1,4,156,churned,0,positive,0,16,13.5,-11.6,19.3,4,15,3,1,0,0,4,0,3.1,4.2,-0.45,0.1,0
ACC_00068,Mid-Market,annual,Guru,28,498.16,1,2,102,churned,0,negative,0,21,14.1,-41.1,29.1,8,26,2,0,1,0,5,0,2.2,4.9,-0.18,0.51,1
ACC_00069,SMB,monthly,Guru,36,447.56,2,1,133,churned,0,negative,0,14,6.8,-41.5,31.4,0,7,3,1,0,0,3,1,4.9,3.4,0.03,0.02,1
ACC_00070,Enterprise,monthly,Business,13,2042.78,4,7,55,active,0,neutral,0,68,40.5,-8.1,33.2,22,0,14,3,0,1,1,0,5.0,3.7,0.01,-0.02,0
ACC_00071,Mid-Market,annual,Business,19,1375.1,3,1,13,churned,0,neutral,0,45,39.3,6.3,19.9,16,0,6,1,1,0,1,0,4.3,4.3,-0.1,0.28,0
ACC_00072,SMB,monthly,Guru,31,239.59,3,0,177,churned,0,negative,0,24,7.9,0.8,21.3,9,4,1,0,0,1,4,0,4.7,4.3,0.01,0.05,1
ACC_00073,SMB,annual,Pro,33,143.03,2,1,100,churned,0,neutral,0,25,23.1,-43.3,24.0,11,0,3,2,0,1,5,0,3.6,4.1,-0.02,-0.09,0
ACC_00074,Mid-Market,annual,Guru,29,318.75,3,4,179,active,0,neutral,0,33,13.0,-3.3,29.2,9,21,9,1,0,1,3,0,3.3,3.9,-0.17,0.22,0
ACC_00075,Mid-Market,annual,Business,47,1163.04,3,4,0,active,0,negative,0,41,27.8,-17.1,40.6,5,20,10,2,1,0,6,1,2.6,4.5,-0.07,0.37,0
ACC_00076,Mid-Market,annual,Business,6,2216.92,4,3,11,active,0,negative,0,49,39.4,0.1,13.3,14,4,10,2,0,1,3,0,0.6,4.0,-0.29,-0.09,0
ACC_00077,Mid-Market,monthly,Business,24,1975.78,3,4,114,churned,0,positive,0,43,40.4,10.6,30.7,17,3,4,0,1,1,4,0,1.2,4.2,0.16,0.28,0
ACC_00078,SMB,annual,Pro,26,82.26,1,0,105,active,0,neutral,0,18,22.1,16.4,12.5,8,0,2,0,0,1,7,0,2.5,4.4,-0.1,0.39,0
ACC_00079,SMB,annual,Pro,32,106.6,1,1,151,active,0,negative,0,42,38.1,5.5,41.4,15,14,0,0,0,1,3,0,4.9,3.4,-0.02,0.02,0
ACC_00080,SMB,annual,Pro,24,135.46,2,1,36,churned,0,positive,0,13,0.2,-39.4,15.0,4,27,1,0,0,1,3,0,1.7,4.4,-0.37,0.23,0
ACC_00081,Mid-Market,annual,Guru,48,323.12,3,4,2,churned,0,negative,0,27,27.0,-18.4,26.9,12,2,1,0,1,1,2,0,2.3,4.6,0.12,0.38,1
ACC_00082,Mid-Market,monthly,Guru,37,438.09,2,3,154,active,0,positive,0,43,48.3,15.3,42.3,14,5,5,1,1,1,4,0,2.8,4.8,0.01,0.58,0
ACC_00083,SMB,annual,Guru,32,250.77,1,1,52,churned,0,neutral,0,13,11.5,0.9,12.3,4,15,2,1,0,1,7,2,7.2,3.1,-0.17,-0.58,0
ACC_00084,SMB,annual,Pro,7,188.34,1,0,99,churned,0,neutral,0,16,4.1,-3.0,7.7,3,27,3,0,0,1,3,1,4.3,3.6,-0.35,0.2,0
ACC_00085,SMB,annual,Pro,33,148.24,1,1,16,churned,0,negative,0,9,6.9,-24.2,34.5,2,13,2,0,0,0,5,2,5.5,3.7,-0.2,-0.46,1
ACC_00086,SMB,annual,Pro,31,136.38,2,2,112,churned,0,neutral,0,22,17.3,-39.6,42.0,9,11,2,0,0,1,3,0,4.1,3.8,-0.0,0.26,0
ACC_00087,Mid-Market,annual,Business,14,1492.84,4,4,109,churned,0,neutral,0,45,36.3,10.6,30.8,24,8,8,3,1,1,3,0,5.6,3.7,0.1,0.03,0
ACC_00088,Mid-Market,monthly,Guru,13,349.9,2,3,142,churned,0,neutral,0,44,33.6,-36.9,24.6,6,0,9,3,1,0,4,0,3.6,4.2,0.4,0.13,0
ACC_00089,Mid-Market,annual,Business,26,484.68,3,1,166,churned,0,negative,0,16,23.6,-2.5,23.5,7,0,2,1,1,0,5,0,0.9,4.5,-0.23,0.05,1
ACC_00090,SMB,monthly,Pro,8,150.48,1,1,3,renewal_pending,0,neutral,1,17,0.0,-2.5,0.0,2,2,15,3,0,0,4,1,4.6,3.1,-0.5,-0.02,0
ACC_00091,SMB,monthly,Pro,32,137.17,2,0,144,churned,0,negative,0,9,9.1,-23.4,30.7,2,21,4,1,1,1,3,3,8.4,2.5,0.24,-0.92,1
ACC_00092,Mid-Market,monthly,Guru,40,285.47,2,4,138,churned,0,negative,0,14,9.5,-17.0,45.9,4,7,6,1,0,0,4,1,5.4,3.0,-0.21,-0.29,1
ACC_00093,Mid-Market,annual,Business,24,2048.71,3,5,11,churned,0,neutral,0,38,13.7,-11.4,22.5,5,2,2,1,1,1,8,2,5.6,2.9,0.06,-0.35,0
ACC_00094,SMB,annual,Pro,34,176.78,1,1,31,churned,0,negative,0,28,7.9,-26.1,8.6,8,3,3,0,0,1,4,0,4.0,3.6,-0.44,0.47,1
ACC_00095,Mid-Market,annual,Guru,21,692.66,1,4,154,churned,0,neutral,0,28,13.4,-39.9,15.9,13,7,6,5,1,1,5,0,0.7,4.3,-0.08,0.27,0
ACC_00096,SMB,monthly,Pro,20,183.39,2,1,171,churned,0,negative,0,24,19.7,-15.7,24.0,8,26,2,0,0,0,3,0,0.5,4.4,-0.56,0.38,1
ACC_00097,SMB,annual,Guru,14,322.79,1,1,42,churned,0,negative,0,23,15.2,-13.8,4.2,10,8,8,2,1,0,4,1,5.7,2.9,-0.01,-0.24,1
ACC_00098,SMB,annual,Pro,33,113.77,2,2,176,churned,0,neutral,0,28,12.0,9.5,17.5,5,1,1,0,0,1,3,0,5.4,3.5,-0.11,-0.0,0
ACC_00099,SMB,annual,Pro,10,130.23,1,0,103,churned,0,negative,0,15,7.2,-29.1,20.5,3,10,9,2,1,0,2,0,2.6,3.7,0.06,-0.02,1
ACC_00100,SMB,annual,Pro,16,123.33,2,3,92,churned,0,negative,0,4,15.3,4.2,21.6,3,29,4,0,0,1,4,1,4.7,3.7,-0.32,0.2,1
ACC_00101,SMB,annual,Pro,4,154.35,2,1,42,churned,0,negative,0,19,18.2,-35.6,28.6,4,5,5,1,0,1,6,1,5.3,3.5,0.01,-0.22,1
ACC_00102,Mid-Market,annual,Business,29,730.6,2,4,130,active,0,positive,0,26,29.6,-39.2,33.4,8,0,9,1,1,0,5,1,6.9,3.9,0.47,0.0,0
ACC_00103,SMB,monthly,Pro,28,175.89,2,1,156,churned,0,neutral,0,16,13.1,-20.4,11.3,5,5,5,0,0,0,5,0,3.4,4.0,-0.34,0.13,0
ACC_00104,SMB,annual,Pro,16,153.65,2,1,84,churned,0,negative,0,15,27.4,-31.9,18.8,5,11,0,0,0,1,6,0,4.6,3.7,-0.43,-0.05,1
ACC_00105,Enterprise,annual,Business,57,2343.62,2,11,34,churned,0,negative,0,65,44.1,-24.5,40.1,13,11,14,3,0,1,2,0,6.5,3.6,-0.05,0.16,1
ACC_00106,SMB,annual,Pro,33,104.23,1,1,116,churned,0,positive,0,15,8.9,20.0,6.0,6,20,1,0,0,1,4,0,3.1,3.9,-0.53,0.2,0
ACC_00107,SMB,annual,Pro,19,85.75,2,0,175,churned,0,negative,0,21,15.9,-23.1,8.4,3,0,2,0,0,0,6,1,4.5,4.2,-0.14,-0.32,1
ACC_00108,Mid-Market,annual,Guru,23,447.39,2,9,166,active,0,neutral,0,35,12.9,26.6,12.2,4,0,3,0,1,1,4,1,2.7,3.9,-0.07,0.1,0
ACC_00109,SMB,monthly,Guru,22,528.75,3,2,151,churned,0,neutral,0,25,19.3,-32.9,32.6,6,6,2,0,0,0,5,1,2.8,4.1,-0.56,-0.01,0
ACC_00110,SMB,annual,Guru,9,297.59,2,1,19,renewal_pending,0,negative,1,16,19.9,-45.8,15.0,7,17,6,1,0,1,4,1,5.7,3.9,0.13,-0.33,0
ACC_00111,SMB,monthly,Guru,9,515.84,2,1,142,churned,0,neutral,0,17,21.0,8.2,30.9,6,0,1,0,0,1,6,0,5.3,3.6,-0.04,0.18,0
ACC_00112,SMB,annual,Guru,9,484.52,2,0,84,churned,0,negative,0,15,10.3,-28.1,5.6,4,4,2,1,0,1,4,1,6.1,3.0,-0.19,-0.44,1
ACC_00113,Enterprise,annual,Enterprise,32,13434.87,4,14,116,active,0,positive,0,55,70.3,10.5,31.1,20,0,19,6,1,0,2,0,2.0,4.1,0.52,0.29,0
ACC_00114,Mid-Market,monthly,Business,19,1291.11,3,3,105,churned,0,neutral,0,32,26.2,-39.4,28.0,10,17,5,1,0,0,5,0,3.2,4.3,-0.17,0.43,0
ACC_00115,Mid-Market,annual,Guru,46,359.71,3,5,145,churned,0,neutral,0,22,8.6,-15.7,41.4,7,15,5,1,0,0,3,0,4.2,3.4,0.16,-0.06,0
ACC_00116,Mid-Market,annual,Business,47,939.4,4,2,104,active,0,neutral,0,39,45.2,-24.7,42.4,14,16,3,1,1,0,0,0,0.5,4.5,-0.26,0.44,0
ACC_00117,Mid-Market,annual,Guru,10,472.44,1,9,92,churned,0,neutral,0,31,26.8,-16.3,7.2,8,22,8,1,1,0,5,2,6.0,3.7,-0.25,-0.35,0
ACC_00118,SMB,annual,Pro,16,154.31,2,1,40,churned,0,negative,0,25,23.9,-23.5,7.0,10,6,3,0,0,1,3,0,6.3,4.2,-0.12,0.34,1
ACC_00119,Mid-Market,monthly,Business,20,1506.59,2,3,99,churned,0,neutral,0,30,20.6,-10.9,36.1,10,0,5,2,1,0,5,2,7.0,3.5,0.38,-0.35,0
ACC_00120,SMB,annual,Pro,33,119.25,1,2,68,active,0,positive,0,5,9.4,-3.7,9.6,2,0,3,1,0,0,6,1,0.8,4.3,-0.55,0.31,0
ACC_00121,Mid-Market,monthly,Guru,3,412.05,1,2,105,churned,0,neutral,0,51,47.7,4.3,39.7,17,0,15,3,0,0,3,1,5.0,3.8,-0.05,0.22,0
ACC_00122,Mid-Market,monthly,Business,14,466.18,4,7,138,churned,0,negative,0,29,34.4,-6.9,41.6,14,4,4,1,1,0,2,1,4.7,3.3,0.17,-0.51,1
ACC_00123,SMB,annual,Pro,6,158.75,2,2,145,churned,0,positive,0,10,0.0,-17.0,2.1,2,7,4,0,0,0,8,1,4.8,3.4,-0.7,-0.28,0
ACC_00124,SMB,monthly,Pro,5,201.89,2,3,139,churned,0,negative,0,29,0.0,-22.8,21.3,4,16,0,0,0,0,5,0,3.7,3.4,-0.44,-0.03,1
ACC_00125,SMB,annual,Guru,16,188.15,1,5,143,churned,0,positive,0,36,32.1,-6.5,15.1,16,8,7,1,0,1,3,0,3.0,4.2,0.24,0.26,0
ACC_00126,SMB,monthly,Pro,18,133.73,2,0,26,churned,0,negative,0,5,0.0,-17.0,0.0,1,6,2,0,0,1,6,1,0.9,4.4,-0.63,0.35,1
ACC_00127,Mid-Market,annual,Business,20,1062.68,2,6,99,churned,0,negative,0,29,20.8,-16.3,16.5,6,7,5,1,1,1,6,3,6.7,3.2,-0.02,-0.29,1
ACC_00128,Mid-Market,monthly,Guru,3,218.67,1,4,144,churned,0,positive,0,41,19.7,-7.8,21.4,10,0,2,1,1,0,4,0,4.4,4.1,0.01,0.04,0
ACC_00129,SMB,annual,Pro,19,67.89,1,2,84,churned,0,neutral,0,24,11.6,-33.6,27.9,9,19,3,0,0,1,4,2,4.5,3.9,-0.11,-0.16,0
ACC_00130,SMB,annual,Guru,8,258.3,2,0,118,churned,0,neutral,0,13,6.8,10.7,8.8,4,3,3,1,0,0,4,1,6.3,3.1,-0.49,-0.08,0
ACC_00131,SMB,annual,Pro,3,140.3,1,0,30,churned,0,neutral,0,34,18.9,-19.5,0.0,12,0,2,0,1,1,6,0,1.0,4.4,-0.23,0.42,0
ACC_00132,SMB,monthly,Pro,25,195.97,1,2,108,churned,0,negative,0,19,21.5,-12.8,7.0,7,18,3,2,0,0,2,0,0.9,4.5,-0.33,0.08,1
ACC_00133,SMB,annual,Pro,5,89.09,2,0,162,churned,0,neutral,0,8,14.1,-15.8,3.7,2,17,4,1,0,1,6,1,4.5,3.6,-0.16,-0.41,0
ACC_00134,SMB,annual,Pro,19,161.78,2,0,26,churned,0,neutral,0,16,7.3,-3.3,4.6,8,0,2,0,0,0,5,1,3.4,3.2,-0.7,-0.26,0
ACC_00135,Enterprise,monthly,Enterprise,23,9992.1,5,13,86,active,0,negative,0,43,31.7,-8.9,45.5,12,15,20,5,1,0,2,0,5.0,3.5,0.4,0.09,0
ACC_00136,SMB,monthly,Pro,31,216.88,2,0,159,active,0,neutral,0,13,18.2,-15.9,43.3,7,3,9,2,0,1,3,1,3.8,3.7,0.08,0.05,0
ACC_00137,SMB,monthly,Pro,33,123.08,2,1,16,churned,0,neutral,0,22,30.1,11.1,37.0,11,6,1,0,0,0,5,0,5.5,3.9,0.04,-0.08,0
ACC_00138,Mid-Market,monthly,Guru,20,479.54,1,1,10,active,0,neutral,0,29,24.9,-72.7,10.6,4,10,8,2,1,1,7,1,3.3,3.9,-0.1,0.15,0
ACC_00139,SMB,monthly,Guru,16,507.18,2,2,128,churned,0,positive,0,13,7.5,7.4,10.0,7,16,3,0,0,0,5,1,4.6,4.4,-0.67,0.17,0
ACC_00140,Enterprise,monthly,Enterprise,21,9796.0,5,10,81,churned,0,positive,0,27,34.8,1.6,37.3,3,13,3,1,1,1,4,1,1.4,4.5,0.02,0.06,0
ACC_00141,Enterprise,annual,Enterprise,52,2288.74,4,9,48,active,0,neutral,0,81,52.0,-33.0,50.7,32,1,21,5,0,0,2,0,3.4,4.1,0.25,0.09,0
ACC_00142,SMB,annual,Pro,7,122.71,2,4,40,churned,0,neutral,0,6,9.4,1.7,30.3,4,7,5,1,0,1,3,0,3.6,4.1,-0.17,-0.16,0
ACC_00143,SMB,monthly,Pro,14,163.37,1,1,19,renewal_pending,1,positive,0,24,22.3,4.1,13.7,9,13,2,0,0,1,2,0,5.3,4.3,-0.57,-0.02,0
ACC_00144,SMB,annual,Guru,25,365.2,3,1,70,churned,0,neutral,0,5,0.0,-4.9,35.7,0,10,2,0,0,1,6,0,1.2,4.8,-0.17,0.12,0
ACC_00145,SMB,annual,Pro,32,116.46,2,2,36,churned,0,positive,0,28,35.6,-28.1,52.5,4,27,1,0,0,0,3,0,3.1,4.2,-0.13,-0.04,0
ACC_00146,SMB,annual,Guru,22,310.9,2,0,125,churned,0,neutral,0,11,21.2,-2.7,20.8,2,16,8,1,0,0,6,0,5.7,4.4,-0.25,0.52,0
ACC_00147,Mid-Market,monthly,Business,18,1392.73,4,9,143,churned,0,positive,0,28,31.2,3.1,32.3,5,0,5,1,1,1,6,1,6.8,3.2,-0.17,-0.34,0
