feature,importance
local_reviews_collected_30d,0.002438275230146001
database_coverage_feedback_count,0.0024306100218929724
customer_type_Brand,0.002383947334995285
historical_data_used,0.002324590331605126
segment_Mid-Market,0.0022286200692332816
region_North America,0.002199142508851136
results_per_report_limit,0.002195544758173492
websites_limit,0.0020993891921859817
local_locations_active,0.0020974733712383876
local_locations_target,0.002004032396186766
keywords_limit,0.0019607395290699133
ai_search_checks_limit,0.0019534807130828307
pages_crawl_limit,0.001869953687935943
competitor_mentioned_in_feedback,0.0017680465122466096
position_tracking_multitargeting_used,0.0017311642218490692
lookerstudio_integration_used,0.0017235944869049909
plan_family_Semrush One,0.0016897207091505061
ai_visibility_feedback_count,0.0016892085595227619
segment_SMB,0.001665300973235991
limit_upgrade_recommended_flag,0.0016491875620648787
customer_type_In-house team,0.001553150308445731
api_access_used,0.0015170083425115337
ai_visibility_exports_limit,0.0014618693303297015
multi_location_business_flag,0.0014553288203718834
traffic_market_toolkit_active,0.0013996295315362962
data_accuracy_bug_flag,0.0013960765494302708
region_LATAM,0.001329661250954365
plan_family_SEO Toolkit,0.0012841809596673445
industry_Education,0.0012821614232421219
agency_flag,0.0012443264345553407
ai_visibility_daily_query_limit,0.0012432496209429274
subscription_type_custom contract,0.0011847269861507545
industry_Retail & Ecommerce,0.0011177814463080263
historical_data_available,0.001117333189761647
plan_tier_Guru,0.0010743386630077967
reopened_tickets,0.0010603582237341414
app_center_usage_flag,0.0010273948660740539
industry_Finance,0.0010248788231078851
industry_SaaS & Technology,0.0009779576497365985
industry_Media & Publishing,0.0009709293024471961
ai_visibility_active,0.00096903579009308
critical_bugs_reported_90d,0.0009595978561868847
stuck_bugs_count,0.0009456848465237178
customer_type_Consultant,0.0009445220725734875
bug_reopen_count,0.0009027990099821451
industry_Travel,0.0008845602034507795
prompt_research_query_limit,0.0008770928067357984
api_access_available,0.0008306142485424936
plan_tier_Pro,0.0008272180934699093
share_of_voice_available,0.0007918630833879265
industry_Healthcare,0.0007482521114605675
plan_family_Local Toolkit,0.0007386092879282499
industry_Automotive,0.0007378826267427258
segment_Enterprise,0.0007230653643405503
subscription_status_renewal_pending,0.0006607400100562161
plan_tier_Standard,0.0006522398859818677
plan_tier_Pro+,0.0006216245464689075
listing_management_active,0.0006036057327705003
industry_Real Estate,0.000575889264137953
share_of_voice_used,0.0005640445089166704
plan_tier_Standalone,0.0005404584809931413
plan_family_Content Toolkit,0.0005199325029082975
local_rank_tracking_active,0.0005148685360620125
plan_tier_Starter,0.0004839652324392196
seo_toolkit_active,0.00048333330037569905
plan_tier_Business,0.00048063623753693494
local_toolkit_feedback_count,0.00045876039729951843
review_generation_used,0.00042544840402080264
duplicate_suppression_issues,0.0004031105681326305
local_toolkit_active,0.0004008271168301754
review_management_active,0.0003270149787168861
plan_family_Traffic & Market Toolkit,0.0003139944003611979
site_audit_bug_flag,0.0002942049295011183
plan_tier_Base,0.0002568748565036365
frozen_locations_count,0.0002423105864722785
position_tracking_bug_flag,0.00023440620626260776
ai_visibility_bug_flag,5.445898987452676e-05
local_listing_sync_bug_flag,2.3964472336870374e-05
expansion_opportunity_flag,0.0
bug_linked_to_renewal_flag,0.0
